fornavn	etternavn	kjønn	addresse	oppstartsdato	ansvarsdag	epost	brukernavn	avdeling	senioritet	sertifisert	varslet
Frode	Antonsen	han	Abrahamsenstranda 6, 4714 Paulsen	1980-07-16	fredag	tobias47@hotmail.com	cecilielarsen	3	4	False	False
Silje	Hauge	hun	Amundsenkroken 2, 9581 Lie	2013-09-30	fredag	aeliassen@yahoo.com	gundersenmaria	4	4	False	False
Anna	Danielsen	hun	Sivertsenengen 4, 2358 Henrikås	2009-11-23	lørdag	tor56@yahoo.com	anderssimonsen	3	6	False	False
Øyvind	Solberg	han	Bakkensvingen 8, 3030 Lie	1989-05-07	onsdag	ppedersen@yahoo.com	stigdahl	4	5	False	False
Aud	Strøm	hun	Svendsengrenda 4D, 3544 Engen	2001-03-05	torsdag	kmartinsen@yahoo.com	knutsenfredrik	1	4	False	False
Monica	Brekke	hun	Nielsensvingen 1, 1872 Johngrunn	1974-04-16	tirsdag	runeeide@hotmail.com	siv88	1	4	False	False
Mathias	Mikkelsen	han	Ellingsenholtet 46D, 3652 Nguyen	2007-07-08	lørdag	nguyendag@hotmail.com	holmtone	2	2	False	False
Øystein	Birkeland	han	Iversenløkka 914, 5112 Kjetilbø	2013-01-14	torsdag	joergensensverre@yahoo.com	tnaess	4	3	False	False
Tone	Gundersen	hun	Tveitvollen 1, 1246 Helland	2015-05-27	fredag	alexander63@gmail.com	fredrik98	4	4	False	False
Robert	Næss	han	Tveitskrenten 256, 8152 Trondfoss	1995-05-24	søndag	obakke@gmail.com	uaune	1	1	False	False
Alf	Thomassen	han	Sivertsenkollen 2B, 9529 Evavåg	2001-02-19	mandag	alihege@yahoo.com	bjoergruud	3	4	False	True
Einar	Hauge	han	Myklebustmoen 9, 3930 Larsen	1970-04-02	torsdag	vpaulsen@gmail.com	oddstroem	1	6	False	False
John	Johannessen	han	Jørgensenholtet 3, 9010 Larsen	2019-07-26	lørdag	ssaether@hotmail.com	andreassensara	1	3	True	False
Tor	Ellingsen	han	Antonsenlyngen 389, 2276 Ragnhildhelle	2019-06-03	søndag	lene39@hotmail.com	maren11	3	3	False	False
Ragnhild	Nielsen	hun	Solheimhøgda 66, 8449 Sarastrand	1984-12-31	lørdag	hmoe@hotmail.com	grethe25	3	2	False	False
Pål	Mathisen	han	Bakkestien 76A, 4592 Martinsen	2005-01-12	mandag	berit35@hotmail.com	qjensen	2	6	False	False
Reidun	Bakke	hun	Ahmedtunet 52, 6705 Eriksen	1990-10-20	søndag	froenning@gmail.com	jon65	3	1	False	False
Lene	Eide	hun	Eidelunden 21, 5519 Bakke	2017-08-09	tirsdag	dahlespen@gmail.com	ragnhild96	3	5	True	False
Martine	Rasmussen	hun	Aasmyra 7, 1609 Jensen	2005-12-29	lørdag	aberntsen@yahoo.com	monicalarsen	2	5	False	False
Øystein	Moen	han	Hansenskrenten 00A, 3486 Sisseleid	1980-01-30	lørdag	uroenning@yahoo.com	ivar14	3	3	False	False
Einar	Thorsen	han	Fredrikseneggen 8C, 1053 Rønning	2007-11-19	torsdag	hanneknutsen@yahoo.com	julievik	3	1	False	False
Roger	Jakobsen	han	Haugentoppen 5, 5531 Lenestad	1999-09-27	tirsdag	helene51@yahoo.com	britt23	3	4	False	False
Malin	Pettersen	hun	Birkelandroa 1, 9003 Karlby	1998-01-01	tirsdag	avik@hotmail.com	roenninghanna	4	6	False	False
Øystein	Nygård	han	Bakkeskrenten 89, 8063 Steinstrøm	2020-11-19	søndag	gunnar76@gmail.com	sissel49	1	1	False	False
Thor	Ali	han	Amundsenstien 99, 4144 Roarby	1990-11-14	lørdag	csolberg@yahoo.com	larsabrahamsen	1	5	False	False
John	Haugland	han	Nygårdlia 5, 6938 Olavvik	1988-04-06	onsdag	helene34@gmail.com	hboee	4	4	False	False
Helene	Strand	hun	Birkelandkroken 5, 7220 Heidiberg	1989-01-12	mandag	einargundersen@yahoo.com	torbjoernknudsen	4	3	False	False
Ingrid	Brekke	hun	Andreassenlia 62, 8257 Sørensen	2003-05-23	tirsdag	kberge@gmail.com	ahalvorsen	1	2	False	False
Ola	Evensen	han	Henriksenberget 53, 5977 Danielås	2016-09-21	tirsdag	kristoffer65@gmail.com	csoerensen	2	2	False	False
Stein	Johannessen	han	Haugenskrenten 99, 0753 Olsen	1992-05-27	søndag	rolfhaug@gmail.com	johan42	1	1	False	False
Irene	Rasmussen	hun	Nguyenmyra 94F, 3547 Sørensen	1981-04-12	tirsdag	irenesaether@hotmail.com	paalisaksen	3	1	True	False
Tove	Strand	hun	Kristensenplassen 27, 4010 Paulsen	1989-12-20	fredag	hilde38@yahoo.com	yantonsen	4	6	True	False
Cecilie	Solberg	hun	Hansengropa 32, 7987 Christiansjøen	2005-06-07	torsdag	isaksenaud@yahoo.com	wvik	4	6	False	False
Laila	Edvardsen	hun	Sørensenengen 43, 9638 Beritfjell	1981-08-20	lørdag	pboee@gmail.com	dahltone	3	5	False	False
Johannes	Berntsen	han	Strandskogen 9, 8783 Aasen	1990-11-09	torsdag	dahljenny@hotmail.com	andreassenrobert	2	6	False	False
Randi	Paulsen	hun	Nilsenkollen 819, 6769 Maygrunn	1993-08-09	lørdag	ksaether@hotmail.com	bakkenpaal	4	3	True	False
Nora	Tangen	hun	Hagengropa 34, 1932 Turiddal	2020-07-25	torsdag	madsengunn@yahoo.com	eli95	2	4	False	False
Tommy	Ruud	han	Hellandsvingen 2A, 1612 Bjørgstrøm	1995-02-27	lørdag	larsarnesen@gmail.com	runebrekke	1	5	False	False
Martine	Andreassen	hun	Solbergholtet 1, 3229 Steinhavn	1995-04-17	fredag	mayjenssen@hotmail.com	magneevensen	2	4	False	False
Turid	Kristensen	hun	Eriksenkroken 2, 6280 Haugland	1994-06-19	lørdag	kjell24@hotmail.com	anitasivertsen	3	6	False	False
Sigurd	Myklebust	han	Hagenstien 752, 3769 Kristinhamn	2020-02-11	mandag	kristenseneirik@hotmail.com	line15	2	3	False	False
Erling	Rønning	han	Tveitåsen 86E, 6216 Einarstad	2004-06-24	fredag	paal76@hotmail.com	bergmonica	4	5	False	False
Camilla	Gulbrandsen	hun	Henriksenskogen 9, 5478 Iversen	2008-11-13	fredag	fberge@gmail.com	kristensenhanna	3	2	True	False
Eva	Ødegård	hun	Lundlunden 80B, 1856 Sigridsjøen	2012-06-21	lørdag	athorsen@hotmail.com	eknutsen	4	6	False	False
Lene	Rasmussen	hun	Thomassenvika 7, 2028 Eide	1972-10-02	torsdag	jenny71@yahoo.com	nguyenper	1	1	False	False
Anette	Fredriksen	hun	Ødegårdeggen 27G, 4334 Andreanes	1995-05-31	tirsdag	hegeberge@yahoo.com	cathrine03	3	2	True	False
Erling	Eriksen	han	Strømmoen 86, 0915 Kjetiløy	2020-02-26	onsdag	emmajohnsen@yahoo.com	metteabrahamsen	3	3	False	False
Robert	Nygård	han	Rasmussenløkka 65, 4958 Hansø	2007-11-12	lørdag	karin97@gmail.com	ichristensen	1	3	False	False
Emilie	Knutsen	hun	Nguyenberget 4, 6184 Amundsen	1999-02-22	onsdag	anitahalvorsen@gmail.com	jroenning	3	1	False	False
Lise	Ruud	hun	Gulbrandsenmoen 1, 4144 Simonsen	2020-09-05	torsdag	xberntsen@gmail.com	jchristensen	3	5	False	False
Elise	Andreassen	hun	Rasmusseneggen 20, 1565 Finnhavn	1977-09-12	onsdag	tonje98@gmail.com	sofiesivertsen	3	5	False	False
